Ch1 Amplitude,Ch2 Amplitude,Cluster
610.5206,374.8124,1
619.9817,586.8249,1
621.007,676.3891,1
640.5845,585.921265,1
643.152039,578.0233,1
645.00824,558.998352,1
647.5927,633.362366,1
647.853943,570.3311,1
648.3332,658.921753,1
650.4506,561.026367,1
653.579041,619.7599,1
653.832642,604.1021,1
655.8351,526.3881,1
656.1735,448.7027,1
663.5495,597.9362,1
663.703247,581.1018,1
663.7203,564.880249,1
663.902954,524.757935,1
664.895569,532.5729,1
665.254456,571.4541,1
665.8635,624.232361,1
666.0819,601.816162,1
666.212036,526.3876,1
667.0841,609.7859,1
667.534241,530.502136,1
667.8539,549.513,1
667.970337,517.8763,1
668.109863,453.283264,1
668.521545,599.960632,1
668.6055,577.5075,1
668.8586,565.5302,1
672.494263,578.7563,1
674.065857,540.62384,1
674.4646,614.9726,1
674.6852,555.7317,1
675.196167,545.9228,1
675.572754,540.0278,1
675.8662,550.917236,1
676.0712,605.664063,1
676.668762,544.133545,1
676.736267,564.6327,1
677.173462,580.152954,1
677.639343,545.936646,1
678.2252,524.366638,1
678.670959,571.88324,1
678.88446,513.990967,1
679.1401,603.796753,1
679.914551,480.921021,1
680.1371,564.65686,1
680.1965,528.2616,1
680.762,577.661743,1
680.827,564.0861,1
681.021545,576.8378,1
681.0462,450.17804,1
681.148,545.4974,1
681.2206,569.112,1
681.606934,585.4984,1
681.6597,563.8316,1
682.0649,538.796753,1
682.1176,562.8551,1
682.4388,614.8568,1
682.464539,599.8899,1
682.472168,544.3317,1
682.878357,555.1176,1
682.908569,559.4895,1
682.98114,547.2773,1
683.374756,566.0467,1
684.074768,576.6308,1
684.4759,518.090149,1
684.578369,627.322937,1
684.8746,572.5785,1
685.2595,496.003845,1
685.6183,497.814819,1
685.667847,484.994476,1
685.6891,569.776733,1
685.948059,562.9199,1
686.1855,519.831665,1
686.4108,585.595764,1
686.4396,523.1513,1
686.951965,515.372864,1
687.379761,537.645264,1
687.4668,639.1409,1
687.552,531.06604,1
687.841858,574.871,1
687.9291,582.4727,1
688.078369,552.8038,1
688.1729,563.3033,1
688.2167,488.382172,1
688.4591,514.541138,1
688.5511,618.602966,1
688.8669,586.8577,1
688.9497,563.0621,1
689.4463,578.289246,1
689.9306,598.8912,1
689.9768,598.34906,1
690.7076,538.0976,1
690.747,617.0741,1
691.4068,518.7354,1
691.827759,514.831665,1
691.8403,469.399445,1
691.8691,511.613251,1
691.8717,549.4174,1
692.0644,560.2576,1
692.4183,593.5305,1
692.4436,569.164246,1
692.4499,510.342926,1
692.62915,562.842041,1
692.9751,582.723755,1
693.0478,510.857178,1
693.5628,522.9428,1
693.6491,573.620544,1
693.7721,604.3411,1
693.8623,553.8007,1
694.0266,570.888855,1
694.054932,623.9978,1
694.1865,570.059753,1
694.1915,541.7013,1
694.3442,503.857483,1
694.368469,604.462341,1
694.6734,488.860565,1
694.704041,565.5132,1
694.773,502.120178,1
694.887634,587.8707,1
694.9167,515.632446,1
695.5824,530.611,1
695.5875,506.1128,1
695.6038,508.5453,1
695.6402,555.785645,1
695.6826,525.2027,1
695.81134,534.177063,1
696.097,516.2739,1
696.1125,563.673157,1
696.2777,510.3459,1
696.306335,598.574646,1
696.4765,593.946655,1
696.6045,520.902,1
696.7847,600.3045,1
696.811035,504.522766,1
696.8236,543.21344,1
696.934143,570.9516,1
697.1622,561.0443,1
697.3893,483.4867,1
697.648254,520.6883,1
697.667847,591.280457,1
697.7047,525.0025,1
697.861145,564.9089,1
698.193,573.887,1
698.433044,578.914856,1
698.5133,549.262939,1
698.5547,558.364746,1
698.6581,533.9449,1
698.8282,559.1677,1
698.9406,518.207031,1
698.9492,528.087952,1
698.9987,550.1693,1
699.112244,572.0587,1
699.1689,567.862,1
699.2017,515.7647,1
699.2579,553.0521,1
699.318665,572.538,1
699.349731,590.927734,1
699.454041,491.331665,1
699.6263,533.7711,1
699.786133,575.211548,1
699.7996,489.078857,1
699.8468,581.7025,1
699.897644,553.6324,1
699.9238,535.4594,1
700.0007,560.8661,1
700.110962,585.3181,1
700.2215,580.4548,1
700.3401,539.5341,1
700.3892,591.128052,1
700.508667,566.3261,1
700.56665,556.280334,1
700.677734,570.2846,1
700.9316,543.2505,1
701.092346,532.5733,1
701.2279,510.380951,1
701.4258,554.025146,1
701.526733,621.6217,1
701.5857,526.4683,1
701.673767,538.2499,1
701.857361,582.311462,1
701.871155,541.1125,1
701.8904,523.271545,1
701.9721,553.149658,1
701.993042,555.0173,1
702.0089,556.6004,1
702.034851,571.651733,1
702.184,566.358643,1
702.187561,537.083069,1
702.2009,538.5906,1
702.3491,531.090942,1
702.4984,601.4895,1
702.658142,557.9453,1
702.6791,496.6127,1
702.8247,553.105042,1
702.928833,503.454468,1
703.037354,503.592621,1
703.1577,549.398743,1
703.162842,490.6292,1
703.1757,556.9714,1
703.215942,618.4823,1
703.4046,556.3232,1
703.725769,515.371155,1
703.788452,566.8292,1
703.7987,503.887482,1
704.0052,505.3038,1
704.011169,558.202454,1
704.0288,516.3516,1
704.173462,549.110535,1
704.1788,524.3308,1
704.32196,526.1936,1
704.338135,546.148,1
704.391235,502.935455,1
704.567139,508.482941,1
704.6285,543.9875,1
704.646,492.009216,1
704.6537,591.8167,1
704.7019,447.876068,1
704.736938,554.3203,1
704.942749,616.65155,1
705.0956,549.19574,1
705.1322,522.3029,1
705.2317,589.425842,1
705.24115,564.580566,1
705.324036,550.3338,1
705.3945,581.680359,1
705.5226,545.4772,1
705.7126,555.6698,1
705.71344,574.989441,1
705.7307,549.3322,1
705.7315,579.9886,1
705.7356,536.246338,1
705.803955,538.819641,1
705.804443,574.6414,1
705.819641,564.0653,1
705.9447,593.5064,1
706.036255,604.072632,1
706.0967,512.311646,1
706.2056,593.2074,1
706.2099,555.1088,1
706.2354,503.341156,1
706.3872,573.0556,1
706.4095,535.1198,1
706.583069,509.852264,1
706.587158,483.134247,1
706.6263,586.7177,1
706.6609,581.8988,1
706.7061,535.876343,1
706.797363,523.882141,1
706.813538,526.2448,1
706.8718,568.532654,1
706.8819,523.860962,1
707.0602,555.430237,1
707.111755,562.824158,1
707.206665,558.6486,1
707.2438,571.535645,1
707.2547,532.8645,1
707.4062,548.6598,1
707.450256,595.7384,1
707.4672,565.84375,1
707.483,508.840546,1
707.5156,516.77124,1
707.578369,574.13385,1
707.737244,583.3913,1
707.853149,478.833435,1
707.9316,590.5671,1
708.0975,587.076965,1
708.1521,532.6756,1
708.2268,523.271,1
708.254333,557.3706,1
708.3113,543.3348,1
708.312744,554.5563,1
708.3785,594.047058,1
708.5075,590.820251,1
708.5471,556.448547,1
708.6345,547.8713,1
708.804443,578.859253,1
708.8394,585.623047,1
708.879761,565.6041,1
708.9089,561.570435,1
709.2983,484.991058,1
709.3078,513.1275,1
709.3476,491.1977,1
709.4614,544.664063,1
709.466,609.1181,1
709.480347,554.762634,1
709.524231,584.268738,1
709.5273,609.9164,1
709.6079,586.5309,1
709.8079,533.0692,1
709.9254,537.9613,1
709.927856,533.039,1
709.9684,568.736755,1
710.0696,650.757568,1
710.1285,543.3005,1
710.3757,557.4,1
710.5949,522.188354,1
710.5959,622.5356,1
710.605042,552.317932,1
710.8588,558.940247,1
711.0318,521.9523,1
711.1392,503.407074,1
711.145264,493.9343,1
711.164246,506.650635,1
711.2993,585.5024,1
711.359863,553.8205,1
711.4992,534.9069,1
711.5437,527.965332,1
711.547363,558.9249,1
711.568054,479.7671,1
711.602051,588.3839,1
711.626038,540.1641,1
711.6356,550.9493,1
711.6538,602.365051,1
711.701233,505.491852,1
711.714661,597.3103,1
711.7259,578.8409,1
711.80426,608.4678,1
711.882141,522.7121,1
711.896362,590.257263,1
711.9567,554.9928,1
712.00415,600.345459,1
712.0109,589.225464,1
712.186462,571.929138,1
712.193542,543.20105,1
712.2276,549.1866,1
712.2333,483.012421,1
712.2701,555.557434,1
712.401062,601.951233,1
712.49054,503.449768,1
712.5462,587.9805,1
712.608643,529.5329,1
712.6358,614.532,1
712.7184,538.370056,1
712.747253,487.6017,1
712.864,559.103149,1
712.872742,551.2783,1
