Ch1 Amplitude,Ch2 Amplitude,Cluster
1365.21765,2236.91577,4
1447.88684,630.6723,1
1479.649,825.4384,1
1485.53259,693.578735,1
1496.95044,698.099731,1
1498.27563,664.2872,1
1499.36743,682.518,1
1503.75842,727.9782,1
1503.84131,647.548767,1
1504.3418,659.2286,1
1504.67273,672.832,1
1505.48914,649.2596,1
1506.515,689.5302,1
1511.58655,622.9341,1
1511.61157,640.596069,1
1515.239,656.1896,1
1515.281,641.245,1
1515.896,641.926941,1
1516.78162,638.6173,1
1517.59485,707.3129,1
1517.998,674.5807,1
1518.972,676.863037,1
1519.85425,680.3305,1
1520.20093,706.8003,1
1520.64417,703.863342,1
1520.653,638.1786,1
1521.56018,626.0629,1
1521.69678,667.3019,1
1522.35144,724.2324,1
1522.61365,646.5665,1
1522.85376,636.4796,1
1523.07617,670.3469,1
1523.39819,686.34845,1
1523.44324,657.8834,1
1523.80286,654.932556,1
1524.28967,747.5236,1
1524.49585,652.9131,1
1525.01123,694.8768,1
1525.20337,708.451,1
1525.28821,690.625061,1
1525.62573,660.1727,1
1525.638,744.136841,1
1528.3429,685.097656,1
1528.849,670.288147,1
1529.17871,663.738953,1
1529.60718,690.064758,1
1529.80469,660.8916,1
1529.88428,711.9737,1
1530.04541,690.9089,1
1530.44556,674.3155,1
1530.49756,683.1045,1
1530.64893,674.9193,1
1531.23633,633.239258,1
1532.21472,680.72644,1
1532.3042,686.6189,1
1532.35645,755.0323,1
1532.62231,680.8041,1
1532.75977,674.0312,1
1532.97693,677.2219,1
1533.06519,686.50354,1
1533.06787,698.6689,1
1533.248,730.230347,1
1533.49731,647.1656,1
1533.69458,678.983154,1
1533.90674,695.131836,1
1533.91479,640.459656,1
1534.13855,706.286255,1
1534.65271,636.828857,1
1535.00928,691.559937,1
1535.23633,710.6738,1
1535.31128,660.5877,1
1535.942,654.5672,1
1536.06055,694.7483,1
1536.69751,636.165955,1
1536.76111,679.9348,1
1536.83386,653.3854,1
1537.03748,638.405945,1
1537.37927,633.1166,1
1538.049,652.595337,1
1538.12646,724.5389,1
1538.15674,689.2767,1
1538.371,658.0567,1
1538.38806,715.302,1
1538.45825,665.302856,1
1538.61633,587.8366,1
1538.88782,708.8669,1
1539.01379,674.171631,1
1539.064,633.7954,1
1539.40173,698.694641,1
1539.446,658.740234,1
1539.45679,651.1503,1
1539.536,754.002441,1
1540.10156,666.091553,1
1540.26379,636.006531,1
1540.70959,631.2189,1
1540.8269,638.680359,1
1540.84082,590.2637,1
1541.07654,743.254456,1
1541.21509,662.0597,1
1541.44885,665.170349,1
1541.64307,646.39386,1
1541.653,614.5953,1
1541.84131,666.1503,1
1541.98962,661.9064,1
1542.11353,659.348267,1
1542.55615,686.1631,1
1542.68323,725.686462,1
1542.79138,724.048645,1
1542.83447,680.087,1
1542.94214,683.448,1
1543.16272,629.0356,1
1543.42542,705.626038,1
1543.79956,668.8808,1
1543.8938,658.581665,1
1543.91125,627.81604,1
1544.0376,650.4878,1
1544.25269,668.5268,1
1544.25342,654.0045,1
1544.32556,634.234,1
1544.38281,657.723633,1
1544.74622,701.957642,1
1544.90515,589.110962,1
1545.07361,626.1995,1
1545.15625,611.001831,1
1545.43079,710.8808,1
1545.768,673.1351,1
1546.10815,674.9579,1
1546.15051,656.0236,1
1546.17773,666.0692,1
1546.21411,707.8827,1
1546.2262,691.585,1
1546.63684,619.0934,1
1546.6449,678.8535,1
1546.89526,689.755737,1
1546.96094,705.106934,1
1547.17908,743.462,1
1547.32825,716.12085,1
1547.37036,704.0969,1
1547.5835,640.8202,1
1547.6217,626.236,1
1547.72815,683.564453,1
1547.90771,662.1454,1
1548.23181,645.9524,1
1548.62378,661.73114,1
1548.66565,620.3067,1
1548.7561,660.422668,1
1548.83679,663.2768,1
1548.99915,606.945557,1
1549.0498,722.0156,1
1549.145,699.8371,1
1549.33875,648.0205,1
1549.40161,707.7545,1
1549.46143,709.976868,1
1549.53955,721.164063,1
1549.55225,695.972168,1
1549.66882,628.682251,1
1549.73218,712.693848,1
1550.1394,673.328,1
1550.49438,641.7893,1
1550.76428,661.4661,1
1550.7854,696.3503,1
1550.86584,700.1783,1
1551.10132,588.2847,1
1551.29126,657.037,1
1551.309,686.351135,1
1551.33179,657.699,1
1551.36548,651.4863,1
1551.44568,669.343262,1
1551.55017,652.744751,1
1551.6394,680.8833,1
1551.69678,644.4499,1
1551.71716,658.574036,1
1552.02637,658.777161,1
1552.45667,722.2973,1
1552.539,672.5153,1
1552.60681,704.5939,1
1552.78174,736.132,1
1552.78748,690.868042,1
1553.00476,671.0866,1
1553.10364,759.2351,1
1553.12158,680.3329,1
1553.36108,690.9007,1
1553.4325,665.1332,1
1553.57324,611.42395,1
1553.84644,635.1769,1
1553.94873,698.2989,1
1553.95227,618.625,1
1553.95532,666.761353,1
1554.04883,672.404053,1
1554.06165,653.377441,1
1554.10217,680.135742,1
1554.28857,663.897339,1
1554.29272,706.9425,1
1554.46289,689.510437,1
1554.73291,738.1959,1
1554.74976,735.4124,1
1554.81372,694.503,1
1554.81763,664.219238,1
1554.92114,609.6265,1
1554.93689,665.8152,1
1555.01355,662.1272,1
1555.01514,667.1115,1
1555.04419,703.234436,1
1555.07385,657.988647,1
1555.34131,660.806152,1
1555.35107,686.563,1
1555.47839,672.192261,1
1555.51245,653.151367,1
1555.5426,679.959045,1
1555.7345,683.948364,1
1555.95667,681.2896,1
1555.98669,687.6484,1
1556.07141,649.2226,1
1556.08875,700.7711,1
1556.31909,674.033752,1
1556.40186,616.660034,1
1556.54968,769.4469,1
1556.604,658.2118,1
1556.66235,635.2591,1
1556.88477,675.7761,1
1557.07776,620.5608,1
1557.11316,723.1284,1
1557.14514,619.263,1
1557.30872,687.470642,1
1557.35339,608.842468,1
1557.45813,629.0754,1
1557.61389,692.7093,1
1557.62512,631.6376,1
1557.66089,638.689331,1
1557.69446,691.8553,1
1558.006,632.2614,1
1558.0238,697.337158,1
1558.04187,744.384155,1
1558.20764,654.3954,1
1558.22754,713.8439,1
1558.3075,634.858337,1
1558.31812,731.8512,1
1558.32947,678.9294,1
1558.39685,698.7798,1
1558.40271,689.419739,1
1558.4176,629.1317,1
1558.43433,704.6114,1
1558.48547,751.5155,1
1558.5564,666.9997,1
1558.86926,578.8759,1
1559.00525,726.457336,1
1559.01038,658.7091,1
1559.04114,641.1758,1
1559.06384,703.51416,1
1559.08032,654.5041,1
1559.10925,656.903,1
1559.26331,660.4561,1
1559.29736,648.591736,1
1559.337,665.318054,1
1559.49683,627.104,1
1559.55139,665.721558,1
1559.66113,687.310669,1
1559.72168,678.8999,1
1559.74573,729.2197,1
1559.94983,705.8358,1
1559.99133,708.848755,1
1560.077,713.048035,1
1560.08374,686.8355,1
1560.12073,681.0646,1
1560.24048,670.322632,1
1560.43042,711.418335,1
1560.4801,631.224243,1
1560.49622,688.5153,1
1560.71143,725.660034,1
1560.75061,620.6945,1
1560.996,610.65094,1
1561.05249,695.228638,1
1561.29138,622.8638,1
1561.29749,656.8966,1
1561.316,665.5252,1
1561.50464,605.5454,1
1561.55493,617.090759,1
1561.57813,624.8647,1
1561.63635,634.9454,1
1561.889,773.7444,1
1562.01331,746.3439,1
1562.05286,636.494446,1
1562.154,632.2116,1
1562.20935,660.511047,1
1562.24414,637.773865,1
1562.308,650.626038,1
1562.312,714.504761,1
1562.42151,621.136353,1
1562.45569,652.1017,1
1562.58679,632.601563,1
1562.6217,674.9517,1
1562.63489,652.7504,1
1562.85022,653.222839,1
1562.86121,664.11145,1
1562.86865,675.029053,1
1562.9082,677.339539,1
1562.92346,689.4451,1
1562.94348,723.902832,1
1563.015,657.333069,1
1563.05737,700.6148,1
1563.32788,655.8323,1
1563.33069,675.098755,1
1563.34375,590.547,1
1563.42664,722.99054,1
1563.45947,686.001648,1
1563.72278,658.4953,1
1563.73914,640.632568,1
1563.77747,682.6991,1
1563.82581,648.730164,1
1563.89514,714.8163,1
1564.08911,725.2494,1
1564.09045,646.1746,1
1564.12207,702.3301,1
1564.12317,633.246,1
1564.15564,655.552734,1
1564.17725,652.373047,1
1564.32629,743.2065,1
1564.433,604.313354,1
1564.46008,650.3529,1
1564.68469,682.297058,1
1564.74377,592.641541,1
1564.80237,697.251343,1
1564.8042,599.476,1
1564.86829,660.6223,1
1564.98059,691.8826,1
1565.00708,643.693054,1
