Ch1 Amplitude,Ch2 Amplitude,Cluster
704.023865,514.193359,1
719.6282,603.6911,1
737.4583,578.0497,1
754.1612,533.0596,1
759.6484,576.1443,1
766.3398,639.6965,1
768.492432,569.1641,1
769.5682,750.4831,1
771.2016,579.0276,1
772.7019,635.942261,1
773.494751,559.484436,1
774.7113,559.9914,1
774.796753,496.8862,1
775.9518,502.210724,1
777.4683,570.5683,1
777.639954,509.822479,1
777.7009,512.1502,1
778.217468,564.7737,1
780.1926,557.657043,1
780.632,568.7146,1
781.829834,557.993164,1
782.035156,529.245361,1
782.474243,548.769958,1
783.200562,557.908936,1
784.554443,573.9175,1
785.292542,594.050537,1
786.445068,552.432,1
786.4815,573.1038,1
788.379333,550.84375,1
788.4561,534.8417,1
788.5436,568.672,1
789.688843,600.7485,1
790.7115,561.319031,1
790.712,555.334961,1
790.905762,518.9332,1
791.077148,506.233673,1
791.682251,549.510437,1
791.852234,560.1884,1
791.9973,598.965149,1
792.1799,502.699036,1
793.9589,521.494141,1
794.3627,588.9011,1
794.597839,602.420349,1
794.8267,579.0672,1
795.682,585.043762,1
795.8128,583.340454,1
796.4502,553.748047,1
796.887634,532.875854,1
797.268738,585.0577,1
799.0122,564.8143,1
799.1514,564.261841,1
799.3373,479.6571,1
799.5259,512.5489,1
800.104736,518.063,1
801.2065,518.614,1
801.2441,515.6713,1
801.6823,517.864441,1
802.2587,577.606567,1
802.312134,516.7091,1
802.897156,555.5134,1
802.9504,571.1903,1
803.1762,483.997681,1
803.817444,518.8714,1
804.386658,613.915649,1
806.4204,503.393463,1
806.8364,586.897339,1
807.161,491.391083,1
808.541931,501.48407,1
808.908264,564.686768,1
809.0243,578.6425,1
809.0701,525.516,1
809.085754,673.66156,1
809.578735,552.9955,1
809.862244,582.6409,1
809.922668,625.4556,1
809.929932,585.1619,1
810.181152,535.667542,1
810.3253,583.5061,1
811.5415,629.270752,1
811.964966,581.1168,1
812.2901,575.0225,1
813.033264,521.3373,1
813.0851,569.454346,1
813.0995,535.6456,1
813.2826,578.2196,1
813.308533,606.6881,1
813.416931,559.6081,1
813.4613,600.530151,1
814.3248,611.0538,1
814.492432,522.0363,1
814.515259,549.3363,1
814.522949,494.050018,1
814.546631,555.0599,1
814.7576,560.2942,1
815.0038,659.5863,1
815.5189,639.0717,1
815.6449,568.715759,1
816.00354,481.782837,1
816.1522,602.271362,1
816.278259,525.8533,1
816.4033,555.9892,1
816.477051,548.4085,1
816.7372,581.3564,1
817.102051,564.392944,1
817.5029,567.7828,1
817.751831,540.448242,1
817.8206,526.6521,1
817.938049,639.3085,1
818.7436,544.983643,1
818.80304,536.127747,1
819.157837,602.332153,1
819.2251,545.578857,1
819.546936,1390.34961,1
819.76886,599.304749,1
820.3196,553.0765,1
820.4371,479.248566,1
820.6731,524.7549,1
820.9078,601.7566,1
821.3249,595.1858,1
821.4264,535.912048,1
821.733765,611.62854,1
821.7634,527.240356,1
821.9156,605.602661,1
822.0588,572.0922,1
822.2007,521.7288,1
822.233948,569.5974,1
822.3184,559.008,1
822.373,578.238953,1
822.385254,566.7517,1
822.799133,480.7181,1
822.932434,575.300049,1
823.111267,585.9489,1
823.4041,559.278259,1
823.4132,479.077942,1
823.7514,485.5331,1
823.929138,547.277344,1
823.9581,495.691162,1
823.9654,491.735565,1
824.049561,611.364441,1
824.286,586.7656,1
824.2937,610.162231,1
824.529663,563.1213,1
824.8617,596.3168,1
824.9128,558.8531,1
825.050964,584.3473,1
825.1179,510.4013,1
825.1346,486.796661,1
825.390747,474.885864,1
825.4847,495.184753,1
825.4947,570.7475,1
825.5946,590.0494,1
825.635437,566.1799,1
825.6978,608.46405,1
825.983948,589.249756,1
826.075562,583.6436,1
826.1702,561.376648,1
826.6367,553.8247,1
826.8998,598.3208,1
827.217346,567.6078,1
827.274658,531.4425,1
827.2782,571.289,1
827.4969,581.7449,1
827.749939,524.842468,1
828.6161,542.5729,1
828.7471,546.1796,1
829.125549,580.9589,1
829.18634,584.2599,1
829.3331,600.2378,1
829.4314,547.41925,1
829.6135,536.9861,1
829.6152,548.148,1
829.6589,547.9585,1
829.8796,555.009,1
830.028931,560.9229,1
830.059265,562.142456,1
830.1492,557.833862,1
830.172668,558.5056,1
830.493958,499.740173,1
830.9587,604.727234,1
831.0657,525.965942,1
831.0936,593.2258,1
831.600647,540.6551,1
831.6204,516.4516,1
831.7103,526.1345,1
831.811,578.232056,1
832.0193,599.736755,1
832.3455,582.925049,1
832.5012,584.835,1
832.6937,581.0412,1
832.9141,506.7589,1
832.985535,602.528564,1
833.0309,524.2426,1
833.0494,463.01297,1
833.1179,599.7734,1
833.272949,621.128052,1
833.592651,554.1218,1
833.8861,555.8547,1
834.028259,470.651917,1
834.053162,551.064453,1
834.1563,541.671631,1
834.255249,548.672668,1
834.5429,569.658569,1
834.57135,539.0738,1
834.605,528.0853,1
834.617554,538.5648,1
834.654358,521.3903,1
834.7159,551.908,1
834.775635,627.985962,1
834.8287,525.1023,1
834.9117,560.8196,1
835.1115,558.718445,1
835.2926,599.755554,1
835.3643,549.039734,1
835.39,547.543335,1
835.4939,548.3474,1
835.6686,536.507,1
836.0587,541.053833,1
836.129761,470.6315,1
836.1818,505.424438,1
836.240662,598.2152,1
836.2656,541.608154,1
836.268,573.3577,1
836.581848,576.5385,1
836.6303,663.575562,1
836.646362,538.4949,1
836.652344,558.033,1
836.903748,512.868,1
837.0435,568.718567,1
837.299866,556.444031,1
837.352051,585.107056,1
837.823547,544.9265,1
837.8378,622.841248,1
837.850769,524.1861,1
838.145447,511.874084,1
838.276062,601.1485,1
838.3047,564.5886,1
838.3244,544.669,1
838.3509,543.903442,1
838.3655,579.897339,1
838.3745,559.03,1
838.3992,495.564362,1
838.538452,629.15564,1
838.65155,536.274963,1
838.65625,562.1409,1
838.685059,538.39,1
838.744446,473.1335,1
838.9197,532.221069,1
839.010864,507.3832,1
839.357544,615.5037,1
839.5093,573.7352,1
839.5301,585.922852,1
839.5776,574.8913,1
839.722961,515.1646,1
839.735,568.9494,1
839.8393,605.1995,1
839.9456,544.7015,1
839.9572,603.371338,1
840.061462,521.8891,1
840.1433,574.9815,1
840.283936,525.696045,1
840.333,568.5132,1
840.483459,572.70105,1
840.533,556.315369,1
840.6334,528.617,1
840.7517,610.6385,1
840.7589,529.836853,1
840.819,587.918762,1
840.857544,535.8352,1
840.8669,595.211548,1
840.910156,513.139465,1
840.973938,586.8751,1
841.1434,607.928162,1
841.1746,546.0518,1
841.1917,549.100464,1
841.293335,613.5939,1
841.40686,575.8787,1
841.88446,595.1963,1
841.967834,546.936768,1
842.0441,531.406433,1
842.094,612.55304,1
842.4029,575.837341,1
842.4379,544.247559,1
842.4383,606.5627,1
842.458,524.636963,1
842.5259,534.115234,1
842.624146,575.436035,1
842.676147,583.737061,1
842.7702,581.880554,1
842.868835,508.8799,1
842.888855,599.64325,1
843.0459,579.284363,1
843.2134,552.4204,1
843.2363,593.598938,1
843.244141,545.7854,1
843.4307,532.2937,1
843.610168,554.8826,1
843.6873,555.565552,1
843.6906,518.096436,1
843.844543,588.0351,1
843.915,562.0137,1
843.945557,534.946045,1
844.075562,588.1484,1
844.3668,531.527039,1
844.3792,608.7097,1
844.7901,579.514465,1
844.972168,596.7093,1
845.0171,567.9125,1
845.1007,549.2621,1
845.1302,633.3846,1
845.220032,567.8332,1
845.2224,591.2912,1
845.4127,570.7243,1
845.442261,548.1551,1
845.4477,611.2855,1
845.4951,542.761169,1
845.5264,492.4181,1
845.6907,518.522156,1
845.798645,532.45105,1
846.023865,564.8384,1
846.0382,531.0024,1
846.1016,589.249451,1
846.1209,551.8075,1
846.2416,532.406,1
846.3035,546.2153,1
846.310852,599.842468,1
846.459961,516.6136,1
846.590759,595.6551,1
846.6065,538.6479,1
846.662,640.9476,1
846.7985,606.362366,1
846.8514,547.627136,1
846.893,553.494263,1
847.026062,509.644653,1
847.092468,508.2964,1
847.095764,472.9603,1
847.1198,549.845764,1
847.1499,608.8752,1
847.174561,523.5818,1
847.1766,599.3196,1
847.184753,627.779663,1
847.397644,500.1789,1
847.556335,555.9238,1
847.604248,540.1634,1
847.7743,579.4393,1
847.9682,589.890442,1
848.1037,538.653,1
848.3308,604.7933,1
848.4294,590.4356,1
848.469,518.0211,1
848.4825,597.435364,1
848.5868,555.096069,1
848.624268,563.8302,1
848.71936,566.411438,1
848.78656,466.681183,1
848.800659,547.1499,1
849.145264,505.839081,1
849.1653,469.15152,1
849.3052,520.4084,1
849.3244,541.289,1
849.6412,540.58606,1
849.786743,585.014465,1
849.8595,537.5451,1
849.8734,614.593445,1
850.152954,562.1782,1
850.2136,541.9307,1
850.3191,585.2184,1
850.3856,488.1528,1
850.590942,573.4704,1
850.661743,627.7281,1
850.6687,577.5091,1
850.671,589.0737,1
850.9528,538.231445,1
851.0111,550.69635,1
851.166,712.3381,1
851.2236,583.43866,1
851.2652,530.539856,1
851.2674,548.514832,1
851.3331,592.1564,1
851.3621,544.884033,1
851.4926,628.3902,1
851.499634,626.886047,1
851.659363,602.84375,1
851.74646,562.955261,1
851.7954,559.273254,1
851.8278,642.907532,1
851.8297,473.3454,1
851.9741,555.783,1
851.9901,454.7986,1
852.244568,577.363831,1
852.420349,588.1536,1
852.4587,542.344543,1
852.595764,590.213135,1
852.6358,518.533569,1
852.6713,547.289246,1
852.702637,563.523743,1
852.8206,601.609253,1
852.823,576.061,1
852.8696,589.847961,1
852.92334,522.733643,1
852.9797,510.720337,1
853.0945,569.397461,1
853.101135,619.3242,1
853.607239,600.2335,1
853.7437,590.6784,1
853.8435,592.4626,1
853.8776,501.414063,1
853.9024,569.6477,1
853.9609,492.282043,1
853.9669,534.0773,1
853.991333,561.3045,1
854.0005,573.7021,1
854.0196,514.832,1
854.032532,559.444336,1
854.0539,532.872864,1
854.111633,612.8917,1
854.1161,538.4864,1
854.151855,597.6177,1
854.207458,463.30484,1
854.21814,594.17865,1
854.2627,538.791748,1
854.4802,525.127258,1
854.6258,597.4621,1
854.6505,505.432373,1
854.7548,508.529053,1
854.787,566.8655,1
854.7975,582.2902,1
854.8366,555.343567,1
854.9043,539.9133,1
854.9421,606.0298,1
854.9934,576.9579,1
855.0918,549.9082,1
855.30304,615.7911,1
855.3489,483.367828,1
855.4335,573.2199,1
855.5313,631.801758,1
855.5369,623.6538,1
855.6392,614.49884,1
855.6904,571.1007,1
855.7519,544.8191,1
856.0094,584.9742,1
856.101,577.5114,1
856.110168,610.493958,1
856.197632,627.2892,1
856.3153,560.537964,1
856.3384,524.3726,1
856.37915,595.8403,1
856.4678,489.23587,1
856.542847,507.446136,1
856.6474,602.4465,1
856.7892,502.462372,1
856.827,595.868652,1
856.8812,606.785,1
856.9066,503.9293,1
857.1352,609.320862,1
857.181458,578.3467,1
857.2216,553.9631,1
857.5141,513.965454,1
857.541138,480.52597,1
857.5526,540.774536,1
857.8397,531.289551,1
857.897766,563.071045,1
858.0796,582.604858,1
858.170837,542.92804,1
858.338745,583.6839,1
858.378845,529.763245,1
858.380066,577.5192,1
858.4529,628.6607,1
858.578735,529.1145,1
858.6245,564.5789,1
858.862854,523.2448,1
859.0164,538.434753,1
859.1438,533.963745,1
859.33075,617.8792,1
859.363831,585.761963,1
859.380737,573.2864,1
859.4034,530.917236,1
859.522339,608.122559,1
859.5757,524.597839,1
859.5903,555.5405,1
859.5958,595.968933,1
859.938,539.996765,1
860.107666,554.4819,1
860.477844,621.1464,1
860.514343,516.282043,1
860.5983,583.689148,1
860.6652,524.017944,1
860.7549,539.069946,1
860.7552,562.488953,1
860.7739,576.8428,1
860.7935,569.578857,1
860.818665,587.8203,1
860.8235,542.239258,1
860.8462,598.780151,1
860.891357,591.791565,1
861.014832,573.1343,1
861.133057,564.7051,1
861.24,609.159363,1
861.311462,625.2895,1
861.7253,529.278564,1
861.7363,590.6239,1
861.773,525.893738,1
861.821,543.4626,1
861.846252,537.4323,1
861.851563,558.059265,1
861.8769,538.9123,1
861.9519,597.762,1
862.0097,581.749939,1
862.133362,545.709,1
862.1353,594.4419,1
862.2693,535.1981,1
862.2896,545.948364,1
862.6961,636.3083,1
862.9191,548.097839,1
863.1544,495.845917,1
863.3288,573.002258,1
863.4814,505.911,1
863.6177,625.2363,1
863.640259,524.145447,1
863.6805,558.042358,1
863.702942,554.186646,1
863.828064,522.825867,1
863.871948,514.2227,1
864.050842,509.559,1
864.137939,529.881348,1
864.1519,540.8597,1
864.157166,537.9054,1
864.1926,507.7093,1
864.234863,608.2291,1
864.2591,622.4321,1
864.348755,527.4851,1
864.369934,505.499969,1
864.4901,634.0045,1
864.807861,591.901,1
864.837158,514.939941,1
864.858765,634.797852,1
864.9119,564.5733,1
865.3228,474.247559,1
865.3375,592.6956,1
865.366943,522.059937,1
865.5091,536.5186,1
865.533752,538.138367,1
865.5676,608.6819,1
865.594,573.3665,1
865.7367,537.0061,1
865.891235,543.7154,1
865.9051,583.766846,1
865.9473,569.0515,1
865.9527,536.222656,1
865.9908,570.3189,1
866.0705,500.315918,1
866.1094,578.496,1
866.204651,589.704651,1
866.246643,529.824463,1
866.2576,549.8641,1
866.3269,583.011658,1
866.3333,536.233,1
866.485352,592.832,1
866.6352,548.2227,1
866.646057,542.5388,1
866.7033,506.4188,1
866.984253,579.2044,1
867.0414,538.5212,1
867.1189,545.597534,1
867.1324,618.7138,1
867.2215,626.719849,1
867.2603,605.3344,1
867.3053,601.0719,1
867.3449,569.3033,1
867.486755,568.255,1
867.6355,488.0667,1
867.6384,562.539,1
867.6812,584.409241,1
867.6953,577.5323,1
867.731445,523.0874,1
867.748,573.510559,1
867.7676,557.572632,1
867.8237,545.3218,1
867.8334,615.6417,1
868.003,561.2377,1
868.3058,587.2892,1
868.341064,509.875183,1
868.396,561.277466,1
868.4328,541.5162,1
868.441467,530.901855,1
868.505859,507.4046,1
868.5161,584.5746,1
868.5663,503.255341,1
868.58075,618.9633,1
868.729248,533.647949,1
868.7531,548.760132,1
868.784363,579.2605,1
868.7978,547.0378,1
868.87085,549.83,1
868.9429,557.268,1
868.947144,454.444427,1
868.9513,597.651367,1
869.054,540.8767,1
869.0901,487.293152,1
869.0973,582.3641,1
869.102051,592.095337,1
869.1143,537.3243,1
869.1287,614.3788,1
