Ch1 Amplitude,Ch2 Amplitude,Cluster
759.503357,570.1587,1
800.6009,465.33606,1
800.625244,458.5885,1
800.7618,526.8087,1
809.5339,525.419861,1
812.407166,555.883362,1
812.949463,504.032867,1
813.341858,585.9749,1
816.7615,559.044861,1
817.9824,653.3443,1
827.9948,595.752869,1
829.0865,579.3017,1
829.964966,581.926941,1
833.086243,594.040833,1
833.8685,517.7395,1
835.186768,492.828033,1
841.8317,629.855835,1
847.6137,609.9132,1
848.005066,637.1185,1
849.357544,558.641235,1
850.994,633.006165,1
851.0242,563.6169,1
852.198,565.078247,1
852.2314,583.3835,1
852.8817,678.977966,1
853.1631,499.409332,1
853.2623,588.8864,1
853.4136,570.28894,1
853.9587,572.0128,1
854.8563,559.7323,1
856.042847,576.585632,1
856.183655,596.196045,1
856.3102,594.3855,1
857.1531,640.1064,1
857.749,561.51886,1
858.143738,526.662964,1
859.994446,596.359,1
860.086731,528.0746,1
860.0995,497.056732,1
860.1116,576.3391,1
860.8074,540.8388,1
861.1803,620.9565,1
861.855347,574.2486,1
862.8034,590.1624,1
863.0753,557.087952,1
863.311951,635.0215,1
864.1326,530.7823,1
864.1695,603.3698,1
864.2147,537.421631,1
864.6912,550.6193,1
864.766,582.8548,1
864.9167,574.255066,1
865.573669,585.234741,1
865.6841,658.2556,1
866.5596,653.6822,1
866.5653,577.188843,1
866.7051,568.473145,1
866.7858,587.9716,1
867.437744,600.227356,1
868.0351,650.9913,1
868.4717,528.2828,1
868.6337,604.082153,1
868.726746,621.3587,1
868.922668,564.734863,1
869.2746,539.4651,1
869.466431,529.2183,1
869.546753,594.645264,1
870.279541,549.6069,1
870.654663,631.227539,1
870.955933,579.3445,1
871.140137,534.675964,1
871.7018,536.57605,1
871.8248,590.4319,1
871.9193,495.265472,1
872.078369,547.5237,1
872.729736,530.45874,1
872.823669,467.725555,1
872.9143,535.507141,1
873.445435,563.633057,1
873.6589,574.660339,1
873.818665,571.774536,1
874.05,562.442,1
874.2173,577.5469,1
874.2261,552.8666,1
874.4597,525.064636,1
874.552551,533.638733,1
874.6203,556.3648,1
874.9776,610.709961,1
875.0314,460.3054,1
875.3567,602.012939,1
876.9831,511.830933,1
877.0013,543.3005,1
877.275146,527.5412,1
877.658936,603.247253,1
878.057739,551.0034,1
878.5483,584.0658,1
878.658142,603.2541,1
878.862732,498.765045,1
878.891968,532.556458,1
880.11554,600.893066,1
880.2173,528.7344,1
880.5491,574.6517,1
880.6766,595.874,1
881.0517,573.445,1
881.377,524.4802,1
881.422546,506.327423,1
881.774841,522.431946,1
882.0314,639.3472,1
882.389648,529.253845,1
882.6241,498.399872,1
882.8045,645.657043,1
882.9633,563.406067,1
883.128,543.9424,1
883.1482,614.574768,1
883.204346,535.4099,1
883.3354,518.3534,1
883.3622,595.4061,1
883.6889,611.7227,1
883.800232,570.196655,1
883.978149,582.8299,1
884.201233,538.6887,1
884.5779,648.9984,1
885.029541,551.1106,1
885.334656,543.1713,1
885.483459,533.4676,1
885.5972,601.664368,1
885.8857,615.2277,1
886.5473,558.2706,1
886.729248,601.420837,1
886.8326,544.3805,1
887.432068,542.118,1
887.6018,501.752228,1
887.8686,582.09436,1
887.9464,545.4042,1
887.9828,618.929,1
888.2247,521.617,1
888.4823,570.0559,1
888.5827,594.231934,1
888.617065,556.3829,1
888.7569,548.3478,1
888.836731,572.2523,1
888.9802,578.0579,1
889.0836,579.1935,1
889.1544,522.4773,1
889.2931,544.100159,1
889.634338,642.110168,1
889.6629,544.510437,1
889.736267,504.935822,1
889.874268,497.27124,1
890.2504,559.5816,1
890.3487,628.6363,1
890.584,551.4786,1
890.7481,539.5722,1
890.8128,475.587524,1
891.4113,611.794,1
892.0952,622.0181,1
892.152161,570.1932,1
892.290833,585.1994,1
892.5357,580.960449,1
892.806641,572.0941,1
893.1234,479.0731,1
893.5486,586.157043,1
893.6802,654.575867,1
893.8066,570.062439,1
893.9859,563.2379,1
894.0431,541.577332,1
894.158936,514.0393,1
894.1662,584.8184,1
894.4484,608.3566,1
894.560852,503.8391,1
894.6258,516.392334,1
894.6705,620.9392,1
894.7515,582.2265,1
894.773438,539.582031,1
894.7745,619.99585,1
894.8837,588.704041,1
895.2737,504.929565,1
895.424438,593.082031,1
895.5532,537.472961,1
895.5897,559.7648,1
895.694641,544.6664,1
895.7981,558.9669,1
895.800842,562.904541,1
896.260254,599.000854,1
896.4554,579.2443,1
896.555847,585.8076,1
896.7813,631.455444,1
897.09,546.244446,1
897.389038,677.485352,1
897.4076,531.3502,1
897.467163,594.5528,1
897.8959,519.582947,1
897.9819,589.529663,1
898.2042,584.6414,1
898.344055,563.924,1
898.686035,552.5438,1
898.714355,505.156372,1
898.8144,501.277161,1
898.8419,570.397034,1
899.24884,616.6391,1
899.4466,547.627441,1
899.872864,560.264832,1
900.021545,588.502869,1
900.3379,557.6686,1
900.5153,534.278748,1
900.645,540.4522,1
900.645569,590.051331,1
900.6522,490.191254,1
901.225342,563.914856,1
901.48584,627.9435,1
901.5629,605.5611,1
901.745544,542.380859,1
901.949158,523.3154,1
902.26416,549.116,1
902.3509,524.15155,1
902.7554,506.027069,1
902.835754,594.8175,1
903.011658,657.7298,1
903.5742,549.252258,1
903.6645,575.309,1
903.6861,613.274353,1
903.692261,530.185364,1
903.866638,564.345459,1
903.8829,568.19165,1
903.885437,526.349365,1
903.9589,598.3571,1
904.1887,494.12793,1
904.2254,578.343933,1
904.2452,573.2505,1
904.6653,486.0434,1
904.8124,614.8083,1
904.8726,463.244873,1
905.035,559.041443,1
905.0955,483.9101,1
905.1542,607.0931,1
905.2954,492.2692,1
905.86084,563.4384,1
905.977844,554.9868,1
906.0475,509.621368,1
906.1113,505.4168,1
906.255432,629.571,1
906.2765,572.994141,1
906.2891,618.4392,1
906.358643,556.640259,1
907.7562,602.6598,1
907.891235,593.0317,1
907.9156,594.069336,1
908.198,585.02,1
908.2746,558.7426,1
909.081848,611.9315,1
909.351,516.2109,1
910.1393,573.448364,1
910.226563,520.489563,1
910.393066,564.3628,1
910.4837,497.6972,1
910.587,604.233643,1
910.641235,553.9098,1
910.68866,618.8931,1
911.158936,689.3657,1
911.166,588.2417,1
911.230469,570.954041,1
911.338135,513.0613,1
911.3507,657.6251,1
911.599854,607.101868,1
911.6152,587.0923,1
911.8978,645.8468,1
912.270264,594.890747,1
912.3659,568.6188,1
912.3839,544.1262,1
912.45636,589.526733,1
912.4922,533.152649,1
912.7551,499.038727,1
912.83905,567.8689,1
913.2858,522.9227,1
913.6321,580.0696,1
913.7352,600.8122,1
913.772156,579.9013,1
914.042,517.1257,1
914.126343,527.072937,1
914.234,532.0164,1
914.304443,561.9278,1
914.786255,627.6952,1
915.1202,574.9096,1
915.187744,600.2109,1
915.2854,553.073853,1
915.394348,577.8893,1
915.4375,543.4412,1
915.605164,577.5605,1
915.611755,567.5195,1
915.6282,512.3536,1
915.8216,566.231262,1
915.9023,627.8067,1
915.983459,525.9108,1
916.962158,507.370148,1
917.3068,518.6956,1
917.4369,537.9619,1
917.761353,568.9457,1
918.532,511.898865,1
918.604,637.0672,1
919.0427,533.357,1
919.056946,532.237061,1
919.0857,539.644348,1
919.152344,532.3024,1
919.219543,584.6048,1
919.26825,561.011169,1
919.4036,500.8589,1
919.4129,586.8363,1
919.44165,556.6086,1
919.6707,576.444946,1
919.9238,577.8473,1
920.057556,543.9423,1
920.228149,541.262756,1
920.2486,533.4214,1
920.2852,587.8982,1
920.3843,599.6198,1
920.4448,594.2213,1
920.7136,622.02655,1
920.7927,546.2374,1
920.838257,571.689,1
920.862732,640.442566,1
920.92,495.649078,1
921.653442,578.9099,1
921.711243,549.8257,1
921.9153,584.300659,1
922.0652,553.4293,1
922.1065,600.1429,1
922.3376,606.447754,1
922.371948,552.4363,1
922.448,616.3276,1
922.5153,566.12854,1
922.526855,582.0691,1
922.5312,475.706329,1
922.588,517.6784,1
922.6383,675.5564,1
922.697632,599.9207,1
922.973145,503.2317,1
922.992554,617.332336,1
923.066956,537.788,1
923.26,555.900146,1
923.2626,556.756836,1
923.4757,540.021851,1
923.572632,516.9862,1
923.6117,569.9943,1
923.6338,565.9062,1
923.662659,564.8477,1
923.7857,513.5125,1
923.8603,547.426331,1
923.864136,531.9078,1
923.9496,543.1883,1
924.0532,551.5514,1
924.0605,605.8414,1
924.152344,599.2453,1
924.4543,602.1545,1
924.5488,574.1285,1
924.64386,504.224365,1
924.7655,531.7606,1
924.9252,593.5977,1
925.184631,577.8253,1
925.425842,528.5536,1
925.7118,551.784058,1
925.971863,573.1522,1
925.972168,548.9581,1
926.3337,549.4373,1
926.403137,613.9428,1
926.597168,546.970032,1
926.78186,601.6836,1
927.0642,635.9486,1
927.1539,522.2236,1
927.1605,576.431641,1
927.1956,530.7903,1
927.414734,542.4909,1
927.5734,514.6692,1
927.7632,607.8971,1
927.7636,576.824341,1
927.7796,548.613159,1
927.7868,572.272949,1
928.63,509.1771,1
928.741455,613.2782,1
929.133545,601.550537,1
929.164,544.096558,1
929.201233,573.6237,1
929.5645,558.7978,1
929.655762,603.2737,1
929.8649,589.782043,1
929.9909,551.8614,1
930.184937,586.107849,1
930.4848,615.8622,1
930.5902,607.255737,1
930.836365,478.550385,1
930.864868,560.369568,1
930.891846,644.444946,1
931.0945,586.2117,1
931.504333,539.6482,1
931.565063,620.0133,1
931.712952,514.356934,1
932.008362,540.2884,1
932.0175,533.390564,1
932.158264,542.7248,1
932.2496,519.079834,1
932.266357,601.8515,1
932.4678,552.016235,1
932.7431,588.29834,1
933.0609,572.253357,1
933.08905,593.695862,1
933.28186,547.4229,1
933.3378,516.5396,1
933.4771,612.9713,1
933.6569,600.6709,1
933.8386,515.3079,1
933.890137,556.6514,1
934.090759,605.3965,1
934.1044,654.219666,1
934.264343,616.4694,1
934.280457,558.524841,1
934.3051,566.719666,1
934.30896,613.6502,1
