Ch1 Amplitude,Ch2 Amplitude,Cluster
1364.864,3129.51636,4
1454.48193,3014.6897,4
1479.44556,2881.01172,4
1502.59448,2778.22754,4
1507.494,2907.26636,4
1510.91992,3053.11035,4
1512.45862,2956.24414,4
1512.55176,2916.07349,4
1513.1239,2785.04517,4
1515.17981,2805.16675,4
1515.93811,3009.04077,4
1518.86047,2856.84253,4
1519.69067,2990.09229,4
1523.12,2911.71387,4
1529.756,3243.0498,4
1529.92773,2812.03955,4
1531.66321,2727.56738,4
1532.37866,2718.407,4
1533.008,2778.669,4
1534.25659,2893.54956,4
1534.77625,3048.62915,4
1534.90784,2828.47974,4
1535.047,2786.446,4
1535.0708,2861.49951,4
1535.99707,2757.5437,4
1538.19373,2666.97,4
1539.30457,2770.72876,4
1539.43042,2877.14624,4
1539.884,2879.08276,4
1540.93262,2543.13086,4
1541.3739,2820.52661,4
1541.58215,3041.08545,4
1542.19092,2663.07935,4
1542.35815,3020.5708,4
1542.825,2748.688,4
1543.268,2811.081,4
1544.7467,2722.19263,4
1545.402,2740.89087,4
1545.85486,2816.40649,4
1546.2251,2809.22119,4
1546.67749,2840.08447,4
1547.2959,2923.80737,4
1548.82263,2754.707,4
1549.4917,2877.366,4
1550.39417,3069.24023,4
1551.03259,2934.35938,4
1552.606,3080.02417,4
1553.227,2868.05737,4
1553.75415,2800.6062,4
1553.76477,2798.00562,4
1553.86255,2990.18384,4
1554.19019,2903.92,4
1554.80029,2778.9292,4
1554.8009,2759.53882,4
1555.13049,2805.50635,4
1557.57825,2958.62158,4
1557.75293,2629.60376,4
1558.57263,2828.98364,4
1558.838,2810.79224,4
1559.59875,2881.75977,4
1559.68262,2912.77344,4
1559.85,2954.00049,4
1559.99976,2909.16235,4
1560.65051,2687.80957,4
1561.11536,3030.05176,4
1561.98682,2889.50073,4
1563.05457,2927.05127,4
1563.28821,2974.12549,4
1563.90649,2849.56738,4
1564.27014,2967.65479,4
1564.44263,2982.17969,4
1564.59631,2743.20215,4
1564.69873,2892.21973,4
1564.837,2885.1936,4
1565.44678,2767.64355,4
1565.75793,2840.44653,4
1565.92871,2929.13037,4
1565.94006,2849.56567,4
1565.969,3061.84229,4
