Ch1 Amplitude,Ch2 Amplitude,Cluster
546.2808,525.3081,1
552.001953,513.016968,1
560.0477,569.448,1
568.7552,641.43396,1
570.141541,513.325256,1
579.367249,517.943848,1
579.4429,510.6671,1
586.919067,530.181641,1
589.234253,508.065277,1
589.972839,483.109863,1
590.2095,586.17334,1
592.6935,476.3032,1
598.4942,539.8942,1
603.257263,525.091064,1
605.4376,515.7597,1
606.538635,567.512939,1
607.1506,561.1889,1
608.639648,451.0108,1
610.121,488.802063,1
613.821655,542.9095,1
615.1268,467.351624,1
615.7488,493.2539,1
616.2208,655.846863,1
616.2251,483.1305,1
616.2914,553.3189,1
616.482239,535.634033,1
616.5191,529.1132,1
616.5391,534.633545,1
618.143,470.359039,1
619.7275,615.235657,1
620.8301,648.759766,1
620.8959,453.154,1
620.9952,536.835266,1
621.4497,600.833557,1
621.7203,521.050537,1
622.0047,519.571167,1
622.1336,545.6944,1
622.764954,487.4365,1
623.9056,642.0147,1
624.226868,517.53064,1
624.457764,642.222351,1
624.911865,438.870575,1
625.003357,515.11554,1
625.5196,534.0035,1
625.9031,465.943634,1
625.9422,511.6914,1
626.0431,567.286133,1
626.17395,562.7968,1
626.378,515.371765,1
626.46814,495.7243,1
627.135742,459.945862,1
627.2971,597.5554,1
627.3114,546.570862,1
627.3439,630.3558,1
628.1161,524.5674,1
628.8753,539.4991,1
629.038,499.5235,1
629.5024,578.2882,1
630.007,496.116547,1
630.0504,493.0142,1
630.114868,513.1095,1
630.128662,567.7555,1
630.559265,536.399,1
630.5644,616.1748,1
631.0276,408.7947,1
631.107,527.0542,1
631.4013,619.4191,1
632.8947,479.498962,1
633.1092,560.480042,1
633.236267,513.243,1
633.3862,456.2449,1
633.5384,475.694733,1
633.8829,506.613739,1
634.030945,507.448975,1
634.548157,617.1521,1
634.8131,512.8569,1
634.958435,505.897583,1
635.1069,608.4885,1
635.357,538.713745,1
637.0079,500.53183,1
637.0914,545.8632,1
637.3373,513.553955,1
637.4584,515.149,1
637.4611,483.903351,1
637.511047,499.958038,1
638.2569,423.508026,1
638.3639,587.6905,1
639.091,534.8467,1
639.482666,522.4413,1
639.987549,504.5323,1
640.054,458.732941,1
640.3437,521.458557,1
640.4303,547.533752,1
640.905457,538.1059,1
641.0854,559.0316,1
641.1255,540.6982,1
641.6729,518.4318,1
641.7029,495.606232,1
641.7568,535.4939,1
642.0282,575.023,1
642.311646,443.2433,1
642.5502,557.338257,1
642.9545,562.407654,1
642.965149,543.0238,1
643.3669,500.210724,1
643.421265,576.118164,1
643.489136,501.691772,1
643.685364,475.879425,1
643.749634,535.472656,1
643.780457,516.3379,1
643.8283,585.7743,1
643.9164,530.5672,1
644.0047,571.891663,1
644.304932,565.9646,1
644.511841,466.184448,1
644.531433,531.562134,1
644.656,506.120117,1
644.752563,616.6106,1
644.788757,510.290833,1
644.924561,560.939758,1
645.151733,593.3426,1
645.1983,554.6737,1
645.225647,493.6443,1
645.3589,482.46048,1
645.467163,557.221069,1
645.5358,615.9219,1
645.6061,590.9426,1
645.8004,529.5978,1
645.9692,480.887726,1
646.1013,593.1295,1
646.127563,579.005859,1
646.134766,532.500549,1
646.1591,527.5487,1
646.2533,599.8557,1
646.52356,563.459534,1
646.779053,512.1911,1
647.0654,596.804443,1
647.170349,545.4594,1
647.650635,513.392944,1
647.6684,580.3406,1
647.7399,522.3418,1
647.7578,598.363,1
647.7582,418.243958,1
647.990662,617.0364,1
648.2116,513.420654,1
648.231445,541.776733,1
648.4716,470.7806,1
648.6095,534.7573,1
648.6262,525.5596,1
648.7799,422.949341,1
648.781555,448.60083,1
649.1261,561.227,1
649.1261,567.928833,1
649.2629,525.613464,1
649.3695,528.122742,1
649.3763,616.965942,1
649.4214,524.222656,1
649.5734,516.17865,1
649.602356,629.743958,1
649.9172,572.889648,1
650.0615,513.9998,1
650.0823,579.0079,1
650.1414,623.6193,1
650.259033,597.1137,1
650.3441,491.4518,1
650.5092,541.423645,1
650.676453,486.470917,1
650.7674,551.3355,1
650.7886,517.8241,1
650.9056,661.671753,1
651.0686,611.095337,1
651.3917,596.879944,1
651.4627,482.062775,1
651.5065,621.8303,1
651.525757,557.9174,1
651.8445,561.2847,1
651.862854,572.2444,1
652.249634,554.0189,1
652.426147,493.065369,1
652.4693,600.459839,1
