Ch1 Amplitude,Ch2 Amplitude,Cluster
664.225647,595.2465,1
686.303467,615.8343,1
696.4353,618.1263,1
708.6441,603.7004,1
713.458862,549.8621,1
717.874634,583.329163,1
723.9369,623.706238,1
730.1435,576.623657,1
733.353455,688.6399,1
734.4762,473.2902,1
737.146667,498.138824,1
737.361755,638.540161,1
739.3997,546.01416,1
739.465759,639.415833,1
740.0199,622.9811,1
740.8838,692.977,1
743.4992,559.937866,1
743.8942,499.672729,1
744.1042,575.6484,1
745.0532,650.302246,1
745.8083,2350.51147,4
746.3047,611.1092,1
747.0796,648.4508,1
747.906067,536.9776,1
751.758667,692.1664,1
752.9078,498.360657,1
753.0074,521.732361,1
754.609131,628.8333,1
755.6851,667.834839,1
756.6761,694.4828,1
757.4367,576.16925,1
757.5276,569.0117,1
757.759766,479.088776,1
758.541,642.7183,1
759.6084,624.83374,1
760.2686,649.229248,1
760.9069,549.2888,1
761.3111,588.1659,1
761.621948,599.9094,1
761.8779,559.3081,1
762.17926,695.0314,1
762.2277,640.2204,1
763.2809,551.6967,1
763.3118,685.012451,1
763.676331,697.0831,1
764.150452,654.2312,1
765.6162,620.809631,1
766.1349,540.434448,1
766.4706,594.0082,1
766.5745,629.9256,1
766.8763,617.052063,1
767.40155,602.003,1
767.8992,543.2031,1
768.413269,565.139343,1
768.684753,687.170654,1
769.03064,532.3283,1
769.6002,652.855652,1
770.0266,602.9547,1
770.090332,574.858154,1
770.111938,646.092041,1
770.5945,589.7039,1
771.1974,632.4472,1
771.387146,694.5949,1
771.7289,609.3146,1
772.535461,595.546936,1
772.58844,664.332153,1
772.618958,550.175,1
772.6978,598.6177,1
773.7806,604.4291,1
774.635437,545.273132,1
775.2476,735.3948,1
775.3138,663.2373,1
775.8442,691.5695,1
777.5968,657.7384,1
778.428467,657.6467,1
778.5382,664.9635,1
778.5524,625.4091,1
778.598938,577.136047,1
779.5147,671.8164,1
779.5643,565.7448,1
780.397766,604.842468,1
780.453857,583.356262,1
780.459351,602.953247,1
781.6373,610.698242,1
781.7684,530.3261,1
782.121765,671.918762,1
782.1471,526.142,1
782.3352,621.2947,1
782.3596,596.6386,1
782.6161,593.1099,1
782.8766,616.2369,1
783.0185,544.4185,1
783.645935,624.1438,1
783.6697,639.272034,1
783.8385,562.4995,1
784.298767,627.8021,1
784.458862,634.7991,1
785.1388,635.904846,1
786.181458,689.3146,1
786.3622,549.6732,1
786.404846,515.613647,1
786.43866,656.050659,1
786.4963,548.3089,1
786.876038,692.12085,1
787.201965,566.365662,1
787.339661,655.8901,1
787.668335,566.0011,1
787.741333,564.0097,1
787.778748,613.9577,1
787.8592,614.9179,1
787.9311,622.9308,1
788.2507,594.2791,1
788.393,651.495056,1
788.9926,626.1478,1
789.016,685.0766,1
789.279541,537.7565,1
789.6209,648.842957,1
789.783936,670.615662,1
789.923,589.444153,1
790.1628,539.8799,1
790.207764,583.031,1
790.3192,604.1344,1
790.4722,609.5194,1
790.700256,615.2348,1
790.760132,3033.15454,4
791.1106,647.397461,1
791.1183,683.348633,1
791.3077,684.1509,1
792.1902,665.329651,1
792.3521,555.8076,1
792.390747,657.8054,1
793.0149,538.6917,1
793.3395,520.2525,1
793.635742,624.058655,1
793.7679,635.8172,1
793.8534,625.8706,1
794.0709,540.289,1
794.2606,635.7806,1
794.3404,557.467957,1
794.43,533.985046,1
794.7419,612.703,1
795.0533,606.074158,1
795.7374,611.362854,1
795.7625,569.096741,1
795.807739,642.155457,1
795.857,576.3587,1
796.1135,692.049,1
796.1823,829.953552,1
796.2171,529.500854,1
796.314148,651.329041,1
796.3942,605.147034,1
796.5095,633.3548,1
796.769531,593.1555,1
796.8265,689.408142,1
797.2569,576.555847,1
797.983,643.0129,1
798.428833,666.2986,1
799.0202,523.851,1
799.1409,707.186768,1
799.1926,573.446167,1
799.205139,633.597046,1
799.3041,644.4841,1
799.3495,659.4799,1
799.518,598.0506,1
799.5508,750.789734,1
799.6087,673.0285,1
800.0163,555.220642,1
800.1722,687.0664,1
800.328369,727.657166,1
800.502,625.6204,1
800.5304,638.0881,1
800.721863,671.43,1
800.7618,611.432861,1
800.9591,599.583,1
800.9875,717.671936,1
800.9898,624.9546,1
801.404846,661.1049,1
801.546143,690.3623,1
801.856567,624.381165,1
801.9007,600.3832,1
802.0544,667.529968,1
802.2866,621.507,1
802.5525,632.976563,1
802.5875,698.7789,1
802.7656,710.6228,1
802.844849,609.4511,1
802.850159,591.4044,1
802.861755,587.4715,1
803.0093,583.247742,1
803.244141,720.1441,1
803.3141,637.0275,1
803.317932,572.2487,1
803.3361,690.120667,1
803.5591,646.5919,1
803.706,554.3963,1
803.754456,585.463562,1
804.0154,634.412537,1
804.1437,600.149536,1
804.240234,665.1635,1
804.396057,567.559448,1
804.4253,641.620544,1
804.55896,688.1098,1
804.6128,620.110168,1
804.615845,558.09436,1
804.795532,702.8737,1
804.8934,595.4669,1
805.064758,733.083435,1
805.1037,680.928162,1
805.1649,674.0252,1
805.247559,579.7285,1
805.3182,696.9521,1
805.608154,634.307739,1
805.61084,646.0052,1
805.780151,657.477661,1
805.861,629.7303,1
805.929749,544.5586,1
805.9336,625.632446,1
806.129639,612.5382,1
806.1537,649.9806,1
806.309753,710.6402,1
806.3571,676.4056,1
806.461548,609.033936,1
806.6981,631.3758,1
806.8412,626.6923,1
806.885,613.271362,1
807.0861,592.460449,1
807.2037,486.445953,1
807.3678,599.9314,1
807.4188,626.003662,1
807.634033,640.346741,1
807.64624,633.1724,1
807.777954,600.3222,1
807.910645,638.705566,1
808.0498,618.3702,1
808.295349,695.2843,1
808.3515,624.635,1
808.5499,611.621643,1
808.602661,550.8335,1
809.2421,489.345032,1
809.250854,622.105957,1
809.2703,667.829041,1
809.3329,627.988831,1
809.6194,630.062561,1
809.669434,671.7269,1
809.808533,705.3381,1
809.8253,636.1507,1
809.9815,594.471069,1
810.0201,653.8446,1
810.0966,525.686,1
810.1182,619.629761,1
810.197937,621.8889,1
810.2075,641.2434,1
810.252258,669.5361,1
810.341431,582.919434,1
810.3893,2970.95117,4
810.485,606.790833,1
810.544861,610.4233,1
810.709534,663.4418,1
810.925232,649.2674,1
810.972961,630.605347,1
811.0672,511.7396,1
811.316,625.8218,1
811.4118,589.7811,1
811.4839,509.252563,1
811.504,595.5357,1
811.6945,641.040344,1
811.7314,594.091553,1
811.9549,658.563354,1
812.119751,641.533142,1
812.5063,587.994141,1
812.5095,609.127136,1
812.5125,518.7793,1
812.5949,627.0771,1
812.667053,646.5771,1
813.1278,653.834167,1
813.1882,718.5406,1
813.4921,751.6419,1
813.559,686.2417,1
813.5726,645.4119,1
813.623962,548.2881,1
813.6621,649.8691,1
813.779846,613.347961,1
813.783569,580.859131,1
813.7909,580.2702,1
813.817261,594.1681,1
813.9053,673.9865,1
813.922058,616.9895,1
813.981,633.438,1
814.4965,537.415039,1
814.5038,645.120667,1
814.510437,695.8445,1
814.573669,640.323669,1
814.5862,599.9732,1
814.885559,552.608337,1
814.9079,634.891846,1
814.9937,648.771851,1
815.098145,660.838745,1
815.113647,590.546753,1
