Ch1 Amplitude,Ch2 Amplitude,Cluster
1529.7478,789.355164,1
1537.90186,646.3614,1
1543.80212,669.512451,1
1546.97241,671.0998,1
1550.92627,680.9528,1
1552.53687,709.594543,1
1556.19373,718.5997,1
1556.32458,679.3086,1
1556.42053,668.749146,1
1561.10046,599.695435,1
1563.13782,682.5241,1
1567.3103,716.524048,1
1572.19189,751.318665,1
1572.21033,660.553,1
1572.73047,658.30365,1
1574.85852,722.7642,1
1575.90881,730.223938,1
1576.346,637.7149,1
1577.32483,668.65155,1
1577.46179,700.2347,1
1580.52478,752.4024,1
1581.71436,1009.74432,1
1585.29089,703.5774,1
1585.75793,680.897461,1
1585.80225,653.937439,1
1587.18359,647.8687,1
1587.217,742.44104,1
1588.0647,649.755859,1
1588.22791,658.4308,1
1588.80444,729.604553,1
1589.5968,711.289551,1
1592.617,668.6249,1
1593.21265,635.6883,1
1593.28064,707.297852,1
1593.6554,626.079956,1
1595.73352,627.046265,1
1595.85657,670.977,1
1595.85791,736.4033,1
1596.5022,657.58606,1
1596.72949,2653.57983,4
1597.00659,636.825134,1
1597.94849,675.193665,1
1597.98474,672.330933,1
1598.52307,2551.37915,4
1598.68274,731.104858,1
1599.32861,759.48,1
1599.36426,705.722,1
1599.47473,655.942261,1
1600.60474,993.5928,1
1601.04138,698.6962,1
1601.15088,672.3307,1
1601.43042,729.5857,1
1601.70349,687.542542,1
1601.96777,726.9006,1
1602.03162,661.8379,1
1602.72046,674.2942,1
1602.8186,669.208862,1
1604.26685,735.443848,1
1605.11047,652.5993,1
1605.2406,648.4691,1
1605.702,626.6444,1
1605.97925,664.477234,1
1607.43823,635.8545,1
1608.24072,1032.74744,1
1608.48572,660.459,1
1609.16345,694.4963,1
1609.49109,990.153748,1
1609.53015,1055.889,1
1609.6261,707.6384,1
1610.62048,760.2084,1
1610.62622,705.1095,1
1611.58643,661.8914,1
1612.0863,2638.473,4
1612.6897,662.714539,1
1612.94409,1089.20032,1
1613.97229,1160.4519,1
1614.6665,702.4031,1
1614.84668,669.0065,1
1614.96741,2917.9458,4
1615.06421,618.476135,1
1615.52771,759.9639,1
1615.80908,705.898438,1
1616.08557,654.620361,1
1616.93408,1050.62622,1
1616.992,664.4799,1
1617.261,682.1283,1
1617.56458,731.1675,1
1618.092,706.378052,1
1618.17688,705.773132,1
1618.23059,603.730347,1
1618.97668,2533.67871,4
1619.44153,693.759766,1
1619.5542,700.874146,1
1619.6123,643.6516,1
1619.87537,616.4222,1
1620.20007,625.1197,1
1620.51184,766.0595,1
1620.60571,681.3946,1
1620.64282,578.1758,1
1620.8031,702.202332,1
1621.03345,730.9809,1
1621.12366,732.5091,1
1621.25049,611.6304,1
1621.52515,627.074463,1
1621.56226,660.379,1
1621.74512,1095.65356,1
1622.18469,641.8777,1
1623.13647,628.4777,1
1623.19177,724.742554,1
1623.56836,669.4111,1
1623.62024,2599.7,4
1623.62988,739.6041,1
1624.80688,691.2143,1
1625.049,644.8158,1
1625.05713,712.140259,1
1625.06763,726.372,1
1625.6947,736.28656,1
1625.72986,626.374146,1
1626.74072,692.449341,1
1626.96533,1025.69275,1
1627.76379,2586.297,4
1627.97412,727.073547,1
1628.59937,696.233459,1
1628.82788,715.635132,1
1629.24841,727.459534,1
1629.419,1125.81628,1
1629.493,627.763855,1
1629.73792,761.26886,1
1629.78552,655.1082,1
1629.80469,738.1425,1
1630.1134,679.393066,1
1630.85388,666.1478,1
1631.34546,729.9752,1
1631.37109,696.0101,1
1631.39441,698.103638,1
1631.51343,2631.23267,4
1631.97644,678.6127,1
1632.19849,703.3983,1
1632.37659,1052.51746,1
1632.38623,671.5974,1
1632.454,665.4877,1
1633.30212,586.3959,1
1633.38013,650.650757,1
1633.40857,749.414368,1
1634.005,703.370667,1
1634.139,649.1677,1
1634.38269,658.1294,1
1634.39844,667.5057,1
1634.63757,928.2821,1
1634.89868,790.162,1
1634.99451,706.153,1
1635.17712,572.7037,1
1635.20227,2527.53931,4
1635.53833,653.5639,1
1635.53943,568.0144,1
1635.551,695.3687,1
1635.71985,1083.036,1
1635.88281,767.285,1
1636.50134,639.699,1
1637.33826,676.8485,1
